timestamp,session_time,Fp1,Fp2,C3,C4,P7,P8,O1,O2,EMG,IMU1_ax,IMU1_ay,IMU1_az,IMU1_gx,IMU1_gy,IMU1_gz,IMU2_ax,IMU2_ay,IMU2_az,IMU2_gx,IMU2_gy,IMU2_gz,IMU3_ax,IMU3_ay,IMU3_az,IMU3_gx,IMU3_gy,IMU3_gz
1749632457.1308959,0.651,-3469.820217170741,-3462.8173642238817,-3463.3259178192516,-321.7500701397741,-3500.9264123799103,-3470.5041168486023,-3480.5702808434107,-3480.4953466201246,2150,16412.0,14936.0,14400.0,-6708.0,9316.0,-17172.0,-4188.0,-900.0,-2000.0,-489.0,1181.0,1827.0,1115.0,3589.0,476.0,199.0,-125.0,-234.0
1749632457.2070348,0.728,-3470.350751471609,-3474.480626297668,-3461.6618785008045,-327.27621932640307,-3491.05357868118,-3474.5915289481313,-3480.0657237399487,-3491.792929684273,2144,16392.0,14884.0,14552.0,-6656.0,9416.0,-17228.0,-4168.0,-720.0,-2064.0,-475.0,1167.0,1812.0,1100.0,3582.0,452.0,198.0,-147.0,-242.0
1749632457.2418182,0.762,-3471.695570998856,-3497.8935745827644,-3464.5268636377887,-331.1992756961913,-3491.7784424011043,-3473.276683110199,-3479.5092122416754,-3476.485866112812,2145,16392.0,14896.0,14436.0,-6600.0,9460.0,-17224.0,-4128.0,-812.0,-2068.0,-485.0,1173.0,1795.0,1067.0,3591.0,465.0,193.0,-154.0,-230.0
1749632457.27516,0.796,-3469.575432041339,-3474.2533258203657,-3464.850579482386,-318.9175564995476,-3504.448320874372,-3465.281201485539,-3480.0727176007886,-3471.8998916476835,2146,16388.0,14816.0,14436.0,-6728.0,9488.0,-17148.0,-4064.0,-844.0,-2140.0,-500.0,1202.0,1854.0,1090.0,3603.0,475.0,194.0,-160.0,-232.0
1749632457.3250911,0.846,-3469.8471934911245,-3494.4735766319723,-3461.4680486432376,-327.5574724444714,-3490.4096439224054,-3474.308277584109,-3479.7010438532884,-3483.0615939869394,2161,16384.0,15124.0,14420.0,-6680.0,9496.0,-17200.0,-4068.0,-860.0,-2096.0,-472.0,1181.0,1819.0,1070.0,3598.0,460.0,198.0,-157.0,-239.0
1749632457.375104,0.896,-3469.2127504006326,-3459.8189961694475,-3464.4224552866767,-318.7781788442348,-3504.2474971559636,-3465.033418987205,-3479.501718819346,-3471.205501178563,2159,16492.0,14900.0,14556.0,-6636.0,9464.0,-17192.0,-4224.0,-804.0,-1984.0,-485.0,1191.0,1811.0,1120.0,3576.0,474.0,196.0,-142.0,-230.0
1749632457.425102,0.946,-3469.9321189441825,-3485.607858894212,-3461.3186797581525,-328.197910272826,-3490.3956562007256,-3474.4896184044624,-3479.3143832611304,-3483.558657668073,2148,16352.0,14872.0,14444.0,-6676.0,9476.0,-17200.0,-4276.0,-764.0,-2056.0,-456.0,1156.0,1809.0,1087.0,3591.0,449.0,199.0,-132.0,-237.0
1749632457.4752908,0.996,-3469.5974127468357,-3483.411786590432,-3465.4740322201287,-322.4664413143922,-3499.9312858946664,-3465.1363286538513,-3479.3163815070843,-3472.379970238205,2144,16392.0,14820.0,14568.0,-6696.0,9496.0,-17232.0,-4136.0,-756.0,-2116.0,-471.0,1180.0,1826.0,1085.0,3586.0,452.0,193.0,-143.0,-246.0
1749632457.525082,1.046,-3469.875668495973,-3476.5023516419355,-3461.044420500925,-329.018190237068,-3490.167856161935,-3474.3747192620895,-3478.5930164716265,-3483.770471739229,2152,16352.0,14912.0,14524.0,-6556.0,9308.0,-17144.0,-4016.0,-804.0,-1980.0,-459.0,1181.0,1804.0,1115.0,3576.0,489.0,224.0,-135.0,-235.0
1749632457.575062,1.096,-3468.381480083642,-3481.3470989581465,-3463.323919573297,-317.16709304357687,-3502.6913631190496,-3464.5838136474863,-3479.052113479628,-3470.368236123709,2156,16376.0,14900.0,14448.0,-6676.0,9444.0,-17200.0,-4156.0,-808.0,-2076.0,-485.0,1174.0,1838.0,1078.0,3598.0,468.0,198.0,-137.0,-237.0
